Militaire eenheid,2024-01-01,2024-02-01,2024-03-01,2024-04-02,2024-05-02,2024-06-01,2024-07-01,2024-08-01,2024-09-01,Totale beweging (km),Aantal bewegingen
"shoigists ""storm-z""",,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913",2098.6842239923094,6
"shoigists ""storm-z""",,,,"46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329",2098.6842239923094,6
"shoigists ""storm-z""",,,,"46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469",2053.892588525563,6
"shoigists ""storm-z""",,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913",2053.892588525563,6
"shoigists ""storm-z""",,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913",2009.1009530588171,6
"shoigists ""storm-z""",,,,"46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329",2009.1009530588171,6
"shoigists ""storm-z""",,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913",2009.1009530588171,6
"shoigists ""storm-z""",,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329",2009.100953058817,6
"shoigists ""storm-z""",,,,"46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469",1964.3093175920712,6
"shoigists ""storm-z""",,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913",1964.3093175920712,6
"shoigists ""storm-z""",,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913",1964.3093175920708,6
"shoigists ""storm-z""",,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469",1964.3093175920708,6
